img_path,xmin,ymin,xmax,ymax,width,height,label
train_images/Diamond1.jpg,120,180,1100,1190,3024,4032,Diamond
train_images/Diamond10.jpg,200,220,700,760,3024,4032,Diamond
train_images/Diamond100.jpg,220,350,950,1000,3024,4032,Diamond
train_images/Diamond101.jpg,220,200,650,650,3024,4032,Diamond
train_images/Diamond102.jpg,450,450,950,1150,3024,4032,Diamond
train_images/Diamond103.jpg,75,75,250,260,3024,4032,Diamond
train_images/Diamond104.jpg,300,290,550,520,3024,4032,Diamond
train_images/Diamond105.jpg,450,550,1000,1050,3024,4032,Diamond
train_images/Diamond106.jpg,250,190,490,425,3024,4032,Diamond
train_images/Diamond107.jpg,390,590,750,900,3024,4032,Diamond
train_images/Diamond108.jpg,100,300,490,425,3024,4032,Diamond
train_images/Diamond109.jpg,210,200,630,630,3024,4032,Diamond
train_images/Diamond11.jpg,150,140,530,515,3024,4032,Diamond
train_images/Diamond110.jpg,400,400,890,900,3024,4032,Diamond
train_images/Diamond111.jpg,80,130,370,420,3024,4032,Diamond
train_images/Diamond112.jpg,110,70,350,290,3024,4032,Diamond
train_images/Diamond113.jpg,180,140,305,270,3024,4032,Diamond
train_images/Diamond114.jpg,80,30,400,350,3024,4032,Diamond
train_images/Diamond115.jpg,410,260,880,810,3024,4032,Diamond
train_images/Diamond116.jpg,200,290,540,580,3024,4032,Diamond
train_images/Diamond117.jpg,150,160,420,430,3024,4032,Diamond
train_images/Diamond118.jpg,30,150,260,280,3024,4032,Diamond
train_images/Diamond119.jpg,90,100,410,400,3024,4032,Diamond
train_images/Diamond12.jpg,100,125,315,325,3024,4032,Diamond
train_images/Diamond120.jpg,190,190,1010,1010,3024,4032,Diamond
train_images/Diamond121.jpg,90,90,450,440,3024,4032,Diamond
train_images/Diamond122.jpg,180,190,450,440,3024,4032,Diamond
train_images/Diamond123.jpg,90,75,350,350,3024,4032,Diamond
train_images/Diamond124.jpg,120,80,300,275,3024,4032,Diamond
train_images/Diamond125.jpg,265,270,390,400,3024,4032,Diamond
train_images/Diamond126.jpg,180,165,400,385,3024,4032,Diamond
train_images/Diamond127.jpg,160,200,550,610,3024,4032,Diamond
train_images/Diamond128.jpg,90,90,420,430,3024,4032,Diamond
train_images/Diamond129.jpg,80,90,270,270,3024,4032,Diamond
train_images/Diamond13.jpg,195,380,1000,1050,3024,4032,Diamond
train_images/Diamond130.jpg,90,80,400,380,3024,4032,Diamond
train_images/Diamond131.jpg,150,90,390,335,3024,4032,Diamond
